
术语	全称	说明
有功功率	Active Power	电能用于做功被消耗，它们转化为热能、光能、机械能或化学能等，称为有功功率；又叫平均功率。交流电的瞬时功率不是一个恒定值，功率在一个周期内的平均值叫做有功功率，它是指在电路中电阻部分所消耗的功率，以字母P表示，单位瓦特。
无功功率	Reactive Power	许多用电设备均是根据电磁感应原理工作的，如配电变压器、电动机等，它们都是依靠建立交变磁场才能进行能量的转换和传递。为建立交变磁场和感应磁通而需要的电功率称为无功功率，因此，所谓的"无功"并不是"无用"的电功率，只不过它的功率并不转化为机械能、热能而已；因此在供用电系统中除了需要有功电源外，还需要无功电源，两者缺一不可。无功功率单位为乏(var)。
视在功率	Apparent Power	在电工技术中，将单口网络端钮电压和电流有效值的乘积，称为视在功率（apparent power），记为S=UI。显然，只有单口网络完全由电阻混联而成时，视在功率才等于平均功率，否则，视在功率总是大于平均功率（即有功功率），也就是说，视在功率不是单口网络实际所消耗的功率。
功率因素	power-factor	在正弦交流电路中，有功功率一般小于视在功率，也就是说视在功率上打一个折扣才能等于平均功率，这个折扣就是Cosφ，称为功率因数（power factor），用 Cosφ表示。
相位		反映交流电任何时刻的状态的物理量。交流电的大小和方向是随时间变化的。比如正弦交流电流，它的公式是i=Isin2πft。i是交流电流的瞬时值，I是交流电流的最大值，f是交流电的频率，t是时间。随着时间的推移，交流电流可以从零变到最大值，从最大值变到零，又从零变到负的最大值，从负的最大值变到零。在三角函数中2πft相当于角度，它反映了交流电任何时刻所处的状态，是在增大还是在减小，是正的还是负的等等。因此把2πft叫做相位，或者叫做相。
相位差		两个频率相同的交流电相位的差叫做相位差，或者叫做相差。这两个频率相同的交流电，可以是两个交流电流，可以是两个交流电压，可以是两个交流电动势，也可以是这三种量中的任何两个。
基波	Fundamental wave	被划分成不同正弦波组中周期最长的正弦波，或者复合波成分中含基波频率的正弦波。
峰值因数 (CF)		周期波形的峰值与有效值之比
峰值保持		是跟踪(track)输入信号（一般是脉冲），直到输入信号达到峰值为止，进入保持状态（hold），保持输入信号的峰值不变（当然实际上存在泄漏电流引起的跌落），直到被复位，回到跟踪状态。
RMS	Root?Mean?Square	"RMS值实际就是有效值,就是一组统计数据的平方的平均值的平方根。
RMS＝（X1平方＋X2平方＋......＋Xn平方）/n 的平方根。
"
MEAN		校准平均值
RMEAN		整流平均值
DC		算术平均值
AC		
Delta计算		在三相3线的接线方式（3V3A）中，根据测量的线电压计算各相的相电压。

